configuration,dashboard,run,success,durationMs,fixable,guidance,goodJob,totalCards
none-temp04-baseline,A,1,true,230414,7,2,2,11
none-temp04-baseline,A,2,true,61712,5,2,3,10
none-temp04-baseline,A,3,true,58758,6,2,2,10
none-temp04-baseline,A,4,true,54023,5,2,3,10
none-temp04-baseline,A,5,true,58883,4,2,2,8
none-temp04-baseline,B,1,true,61148,7,3,2,12
none-temp04-baseline,B,2,true,53391,4,3,2,9
none-temp04-baseline,B,3,true,62851,4,2,2,8
none-temp04-baseline,B,4,true,57705,5,2,2,9
none-temp04-baseline,B,5,true,56757,4,2,2,8
none-temp02,A,1,true,44337,5,2,2,9
none-temp02,A,2,true,47737,3,1,3,7
none-temp02,A,3,true,60834,8,2,2,12
none-temp02,B,1,true,58860,5,2,2,9
none-temp02,B,2,true,48409,6,2,2,10
none-temp02,B,3,true,52402,6,3,2,11
low,A,1,true,121342,2,0,2,4
low,A,2,true,115952,4,3,2,9
low,A,3,true,85926,5,0,2,7
low,B,1,true,137830,6,1,2,9
low,B,2,true,97032,7,1,2,10
low,B,3,true,121728,7,2,2,11
medium,A,1,true,224542,1,0,0,1
medium,A,2,true,185416,1,0,0,1
medium,A,3,true,180990,1,0,0,1
medium,B,1,true,189710,1,0,0,1
medium,B,2,true,237676,0,0,0,0
medium,B,3,true,197828,2,0,0,2
high,A,1,true,247313,1,0,0,1
high,A,2,true,196591,1,0,0,1
high,A,3,true,197892,1,0,0,1
high,B,1,true,253692,1,0,0,1
high,B,2,true,248289,2,0,0,2
high,B,3,true,236748,1,0,0,1
low-nojudge,A,1,true,85722,8,1,2,11
low-nojudge,A,2,true,123744,9,1,2,12
low-nojudge,A,3,true,98844,8,0,2,10
low-nojudge,B,1,true,105384,7,2,2,11
low-nojudge,B,2,true,101435,8,1,2,11
low-nojudge,B,3,true,107811,8,2,2,12
low-coverage12,A,1,true,109708,9,1,2,12
low-coverage12,A,2,true,98032,9,0,2,11
low-coverage12,A,3,true,105203,7,0,2,9
low-coverage12,B,1,true,91500,9,2,2,13
low-coverage12,B,2,true,82578,9,1,2,12
low-coverage12,B,3,true,74189,7,2,2,11
low-recovery11-cap11,A,1,true,94458,10,1,2,13
low-recovery11-cap11,A,2,true,178282,8,1,2,11
low-recovery11-cap11,A,3,true,115642,8,2,2,12
low-recovery11-cap11,B,1,true,127278,10,1,2,13
low-recovery11-cap11,B,2,true,101167,10,1,2,13
low-recovery11-cap11,B,3,true,130166,7,3,3,13
