dashboard/viz type,the type of dashboard,Feedback specificity,the granularity of the feedback,Feedback object,"if particular facets or aspects of feedback are surfaced, check all that apply",task/analytical goal included?,"""x"" if dashboard/communication goals are provided, """" if not",stated novice?,"""x"" if there's any evidence in the text that the poster is a novice (e.g. ""first time doing this"", ""still learning"", etc etc)",makeovermonday,"""x"" if mentioned that post is related to a makeovermonday challenge",b2vb,"x"" if mentioned that post is related to a b2vb (or ""back to viz basics"") challenge",coursework?,"x"" if mentioned that post is related to a class/coursework/academic project",design rationale?,"x"" if design rationale included by OP"
infographic,,open ended,"""give me any and all feedback""",chart,,x,,x,,x,,x,,x,,x,
analytic,,faceted,"""interested in feedback on these aspects""",color,,,,,,,,,,,,,
infographic/analytic,,pointed,"""can you answer me if my dashboard is fulfilling this, or that?""",layout,,,,,,,,,,,,,
,,,,data,,,,,,,,,,,,,
,,,,text,,,,,,,,,,,,,
,,,,visual design,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,cognition,,,,,,,,,,,,,
,,,,context,,,,,,,,,,,,,
,,,,interaction,,,,,,,,,,,,,
,,,,task,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,design process,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,performance,,,,,,,,,,,,,
,,,,engagement,,,,,,,,,,,,,
,,,,clarity,,,,,,,,,,,,,
,,,,storytelling,,,,,,,,,,,,,
,,,,insights,,,,,,,,,,,,,
,,,,usability,,,,,,,,,,,,,
,,,,actionability,,,,,,,,,,,,,
,,,,implementation,,,,,,,,,,,,,
